201909022205,root,1000,70.0,7
0knbe,2JOYV,oByaX,rWSd1,BqPw5,qVcYB,AhkpT
70.4,70.1,70.8,69.6,70.1,69.7,69.3
1,¸ðÉú»Ô,435942,2022040274245,86.1,91.1,80.2,93.5,90.5,79.1,91.4,76.8
2,ÁºÖ¾¿¡,222100,2023110770014,86.1,81.3,85.3,79.0,93.0,93.1,86.9,83.9
3,ÒüÜ¿,909029,2022110812929,84.8,75.5,89.3,93.0,94.6,80.3,86.9,74.2
4,ñÒÖÂ,803704,2019120930401,84.7,91.4,72.7,76.8,85.5,81.4,94.7,90.4
5,ÎâÔÂÜç,416949,2024091184941,84.6,82.5,94.0,86.3,93.2,72.2,85.9,78.3
6,¿µÆ½Ê¿,955643,2021060904320,84.4,93.1,94.5,93.6,52.6,93.2,80.8,83.1
7,ÉÛÈÊÁ¦,187690,2020040909060,84.0,86.4,80.9,93.8,91.6,91.8,84.2,59.3
8,²ý±òÔª,120368,2020100976861,83.4,66.3,75.7,90.1,93.3,93.9,89.3,75.5
9,²·Ü¿,180933,2022101093313,83.2,88.2,92.8,92.5,76.6,67.2,84.4,80.8
10,Ô¬Ç¿Ñ§,977661,2022020376123,83.1,86.7,70.2,74.1,92.6,87.2,88.4,82.6
11,Ç®åûÓ±,553004,2022080390474,83.0,92.8,66.5,81.2,78.6,87.5,87.4,87.0
12,¿µÎÄ,141611,2019030281135,82.7,90.0,82.6,78.3,94.0,87.9,74.0,72.4
13,ÔÆÊ±éÅ,849036,2021090543658,82.6,89.6,87.0,77.2,69.4,89.0,82.6,83.1
14,ÖÜÁÕÕÑ,125456,2022111105660,82.4,56.0,84.3,94.4,92.8,93.1,86.5,69.4
15,±´ÐÐÎ°,035286,2019040328620,82.3,84.7,92.0,94.5,83.6,80.8,71.1,69.6
16,Ã÷·²É¯,506006,2022110720638,82.1,70.2,79.8,76.2,79.6,93.5,92.4,82.7
17,Úù±£,096528,2024110222866,82.1,92.7,91.0,88.2,94.6,86.8,69.5,51.9
18,Â³ÎÄ½¡,767001,2021051070110,81.8,85.4,57.6,92.3,91.3,73.0,89.8,83.1
19,ÎÀÊç,561231,2022070683126,81.8,77.1,94.3,67.7,78.8,87.3,90.8,76.5
20,»ª¶¦,183547,2023030204758,81.5,85.5,61.7,94.9,82.8,85.5,74.6,85.7
21,µÒµÂ,298991,2024030599163,81.5,74.4,93.2,89.2,92.4,86.9,76.4,58.2
22,ÇØÜ°ÑÅ,010603,2021030220338,81.4,80.4,85.6,94.6,89.5,53.6,89.7,76.2
23,ÒüË¬Ã¼,297201,2018120290116,81.3,70.7,83.6,68.6,93.0,90.6,70.6,92.0
24,ÀÉ·¢Ê÷,165870,2019011227063,81.2,61.5,76.6,93.0,90.1,79.5,87.1,80.7
25,Ê©Î°,746883,2019050838332,81.2,87.1,83.7,64.9,80.5,93.9,67.5,90.8
26,³£µÂÊ¤,780985,2023090558530,81.2,88.5,78.1,72.0,65.5,90.8,89.2,84.0
