2023030120718,root,1000,69.9,5
l6AoC,bXmFR,0KbL0,czOGL,Dqkii
69.8,70.2,70.3,69.5,69.7
1,Ê©ÐÇ¹ã,661333,2021120753354,90.2,88.9,92.7,93.9,88.2,87.1
2,»ª¹ú¸Õ,386155,2023060275575,89.9,89.0,86.1,92.1,93.3,88.9
3,±´´ºèµ,785986,2023110688658,89.3,94.0,78.1,95.0,92.7,86.7
4,Âí»Ô¶¦,836806,2022040160602,87.8,89.7,88.9,93.3,79.8,87.3
5,»ªÉ½,477184,2020090198434,87.7,90.2,86.1,82.7,89.5,89.9
6,°²ÕÑÜø,554279,2021060137967,87.4,93.7,81.2,93.1,82.0,86.9
7,á¯½¡,828042,2023040164271,86.3,86.5,81.1,93.9,88.4,81.4
8,ºÍÁ¦,518727,2018090782748,86.0,80.7,73.7,94.4,86.7,94.3
9,·ëÀûÃú,104723,2021080242318,86.0,92.1,79.9,82.6,88.2,87.1
10,Ñ¦Ê±¾û,281415,2023070481556,85.7,81.2,94.7,89.9,93.3,69.4
11,½ðÃú,098254,2021010385424,85.6,94.4,94.0,85.7,73.0,80.9
12,ÀÉÀó,206034,2020040203462,85.1,65.5,91.6,90.2,87.4,90.9
13,Ëïåû¼§,206954,2022030165413,85.0,91.2,88.9,64.1,88.9,91.7
14,Ê·´ï±£,571613,2022060491339,84.9,85.7,83.5,88.2,91.8,75.1
15,ÆëÑÇ·²,843780,2019110988025,84.8,91.8,73.0,89.9,80.9,88.6
16,Æ¤·ãÇÉ,863679,2022020607973,84.7,80.6,93.4,81.7,85.9,81.7
17,ÚùÔ°ËØ,028558,2018051035839,84.3,86.6,72.2,91.5,81.7,89.3
18,¿°ÓñÓ¢,852605,2021060120538,84.3,86.1,94.1,90.6,72.3,78.6
19,Ö£Î°,899574,2024040157458,84.2,88.6,57.8,90.1,94.5,89.9
20,Îâ½¡Ã÷,892281,2020020678101,84.1,94.1,67.7,73.8,93.1,91.6
21,ËÕ¾²,851731,2018070383124,83.9,93.6,76.7,84.0,92.8,72.5
22,¹ËºÉÈð,303314,2023070751417,83.8,86.2,81.9,91.4,72.6,86.9
23,·½Ö¾,148840,2024110974051,83.7,91.3,89.5,66.2,81.6,89.8
24,²ýåû,690943,2019090824324,83.4,88.0,78.7,74.3,85.1,91.1
25,ÑÏ²ßÊÀ,568489,2020081208969,83.4,77.2,84.5,94.3,70.5,90.6
26,·ïÄþ,565766,2019120846651,83.3,68.2,89.8,86.5,88.8,83.1
27,Á®Æ¼Ïþ,703257,2024081215731,83.2,89.3,89.7,56.7,89.8,90.6
28,Ó÷Ý¼÷ì,518665,2021020216541,83.0,77.6,81.7,87.3,91.7,76.9
29,ºÍ³É,546777,2022090187705,82.9,84.3,86.9,91.0,71.3,80.9
30,Æ¤Áú±ò,303620,2018080392052,82.8,88.5,61.3,87.0,88.8,88.5
31,ÌÆ¸£,029570,2022031087060,82.7,85.2,90.5,79.1,65.0,93.5
32,Úù½àæý,748817,2020080771740,82.6,93.9,53.3,82.5,88.5,95.0
33,Ì¸½¨Éú,359952,2018120535232,82.5,86.6,83.5,78.4,72.7,91.1
34,ÌÀÈÊ½¨,764252,2019030945227,82.5,83.0,85.2,61.8,88.3,94.2
35,ÍôâùÀó,436884,2022051108470,82.5,93.7,70.2,73.5,85.4,89.5
36,³É¸»,861845,2019101074571,82.4,85.6,80.3,90.3,94.1,61.6
37,³ÂÃÀ,299980,2019090328064,82.3,92.5,64.4,84.2,91.2,79.2
