202010270722,root,1000,70.1,4
RarW2,qlieb,0LJGv,ZPn8e
70.5,70,70,69.9
1,Î¤ÄþÖÐ,982917,2020041181775,91.8,90.4,87.1,94.8,95
2,Ã×Ã÷,530475,2024080627502,89.2,86.4,94.4,93.6,82.4
3,Óà¾ýÂ¶,469474,2020060117438,88,87.2,91.6,89.4,83.7
4,Íõ»ª,322656,2018090805649,87.7,94.7,85.7,88.6,81.8
5,ÅíÆ½Ö¾,570934,2021030333414,87.7,92.6,85.3,91.8,81
6,ÌÆÊÀ,838510,2019050011054,87.6,77.3,92.5,88,92.7
7,Ë®Áú¶«,348049,2019040764954,87.3,85.3,85,88.6,90.5
8,±´»·Ô·,678691,2019100519160,87,84.1,92.7,86.6,84.8
9,ÎºÃúÀû,662858,2020010395802,87,90.4,77.3,91.6,88.8
10,½ð»ÝÃ·,404731,2022090113114,86.4,93.6,83,86.2,82.8
11,ÌÆÐË´ï,909078,2023010027822,86.2,87.9,81.1,93.9,82
12,ÔÆÝ¼µ¤,734639,2023090643966,86.2,91.2,88.2,80,85.4
13,ÂíÁú¿¡,686309,2019120150940,86.1,93.3,74.1,83.8,93.2
14,ÖÜÑÒ,642977,2022051117753,85.9,92.3,71.4,87.5,92.4
15,ÁºÏé,844898,2020120419812,85.6,93.6,80.6,76.2,92.2
16,Íõ¼§Ö¦,720619,2019031201928,85.4,93.4,73.6,80.2,94.4
17,¿×ÐÅ·å,452671,2021100627148,85.4,92.4,67.1,88.6,93.5
18,ÅÓ¾ý,696336,2019100843624,85.3,81.2,93.1,94.1,72.8
19,Ð»¼§,742463,2020111176341,85.3,75.9,80,91.1,94.2
20,Ð»³É,029126,2019020022632,85.2,94.7,89.8,71.6,84.8
21,Ëïº®ÁÕ,705936,2024031243652,85.2,79.8,93.1,72.9,95
22,Æ¤ÈÚ»¶,179430,2019061163012,85.1,90.4,84.3,75.7,90.1
23,ÈÎÇÙ,041908,2022080480835,85.1,74.7,89.9,94.9,80.9
24,ÚùÄÈ,619319,2024090091914,85.1,64.8,91.4,90.2,94.1
25,×ÞË³,955586,2018080118671,85,93.1,75.6,86.3,84.9
26,ËÎóÞ÷ì,381215,2024030721534,85,78.1,94,82.9,84.8
27,»ª´ä,135246,2018071114668,84.8,89.3,93.9,78.5,77.7
28,Æ¤Ê÷,910689,2021030498903,84.8,93.9,90.1,75.8,79.5
29,ÌÕÒ¶,479946,2024100524622,84.7,89.2,80,85.1,84.5
30,ÇØ°²¸»,716451,2023110905151,84.6,94.5,91.7,63.5,88.8
31,Ûº¾Õ·Ò,407224,2024051092466,84.6,91.4,91.7,64.2,91
32,ÕÂÆ®,899684,2023070738462,84.4,85.8,89.2,80.7,82
33,ÕÔ±ùÇï,781616,2018010671663,84.3,83.3,90.7,86.5,76.7
34,Ê·¾²»ª,698522,2020101012229,84.3,87.4,89.9,87.9,72
35,³ÉÐÂ¸Õ,338264,2019020956421,84.2,94.6,87.6,68.4,86
36,ÑîÜ¿,314493,2022020429334,84.2,91.7,95,73.8,76.5
37,Îº¾ü,450732,2024070743205,84.2,84.5,85.5,73.8,93
38,¶­±ò,904635,2020121183548,84,82.5,78.6,80.9,94
39,·ü½à»·,321311,2024010081145,83.9,78.6,87.7,86.2,83.2
