20201211456,root,1000,69.9964,8
vKEBP,kz4bo,wEXfP,Gvy9R,oKz0B,T3nGs,bFyqg,LYiL1
69.6708,70.8,70.3,70,69.7,69.8,70.1,69.8
1,ÌÆÊÀ,838510,2019050011054,82.05,59,82.4,91.6,89.6,88.2,79.9,71.4,94
2,»ªÎ°ÎÄ,455603,2018020830344,84.2,93.8,89.4,80.4,94.5,77.2,88.3,88.1,61.7
3,Ã×¹ã,663132,2020020433268,84,79.8,93.6,92.2,72.5,67.7,90.6,90.1,85.3
4,ºÂÔÆ,274728,2021010022813,83.4,92.3,83.1,79.4,87.6,90.6,77.5,65.5,91.5
5,Æ½Ñãæ¼,671937,2019110783750,83.2,79.1,94.5,88.8,70.7,85.9,87.1,72.9,86.8
6,ÕÅÏ£,550799,2021110619944,83.2,88.6,84,55.9,82.3,91,91,89.7,83.5
7,¼Í»·Ó±,926068,2019120836814,83,94.1,74.4,92.5,92.6,82.6,81,91.4,55.7
8,ÄÂµÂ,839999,2020060279929,82.9,88.1,72.4,91.5,89.7,90.2,72.1,79.1,80.1
9,×£¶¦Á¼,030957,2024050135762,82.8,90.5,85.6,82.4,93.4,76,81.3,68.3,84.7
10,ÎéºÉ·Æ,634544,2018120094460,82.4,76.5,62.6,76,78.4,94.7,85.9,94.7,90.6
11,ÇØÑ§Ãú,803212,2024010761275,82.4,91.5,89.7,65.2,91.3,94.1,58.4,75.7,93.2
12,½¯»ÝÖ¥,645330,2020090703062,82.3,91.9,52.9,79.1,72,92.3,82.9,92.4,94.9
13,ÌÆ¾û,124959,2023081065958,82.1,90.5,83.1,91.1,91.9,69.1,54.7,92.4,84.2
14,Ò¦ÒÇºÉ,376264,2023101146447,81.7,91.7,75.8,88.8,86.7,66.6,91.7,92.7,59.6
15,×ÞÔÃ,284445,2018100994503,81.4,89,83.7,73.9,90.9,73.8,86.6,94.7,58.2
16,ÎâÐã½à,500497,2018010489764,81.3,93.8,91.8,78.6,85.2,69.3,85.1,52.9,93.5
17,ÔÆÀûÑ×,613892,2020111219251,81.1,81.5,75.7,94.2,74,93.2,82.7,76.8,71.1
18,ÔªÐÀçü,433349,2018081204934,81,90.3,92.3,86.2,75.6,93.7,79.2,47.3,83.5
19,½ªÓ¢æý,681402,2021010090249,81,91.4,63.4,76.3,83.3,76.1,91.4,93,72.8
20,ÕÂÆ®,899684,2023070738462,81,91.5,92.5,76.7,48.4,89.5,72.6,94.6,82.2
21,·¶ÐÇ,576321,2021021032138,80.9,51.9,74.5,94.4,89.3,88.6,81.2,90.5,77
22,Îºæ«Àö,886793,2018090109350,80.8,61,92.6,84.1,86.1,84.4,89.3,69.5,79.4
23,Òó¹ã,579243,2020010684312,80.8,52.2,93.9,94.4,89.1,67.4,90.5,89.4,69.3
24,Æ½ÐÂÇ¿,828818,2022110501868,80.7,87.6,83,73.3,84.8,90.4,62.6,84.9,79.3
25,¿µæÃÏ£,695094,2018090979412,80.4,84.5,90.4,93.1,87.4,67.9,70.5,55.2,94
26,ÕÅÁúÊ¤,424348,2022050484864,80.4,87,77.2,82.1,90.9,79.6,84.3,91.5,50.3
27,ÅÓÁ¦,404151,2020010675151,80.2,86.1,87.7,80.6,73.5,48.1,94.9,91.1,79.2
28,»Æ·Ò»Ý,561504,2020070680444,80.2,82.7,83.8,76.7,78.3,81.8,55.1,88.2,94.6
29,ê°Äþ¾ý,447453,2020080275334,80.2,94,94.1,74.1,90.7,72.4,52.2,71.3,92.8
30,½¯³½,571226,2023091182664,80.2,83.9,78.3,57,92.7,86.9,84.5,72.9,85.5
31,ÚùÈï,136680,2018050418015,80,82.9,87.7,77.7,72.5,65.1,77.7,87,89.7
32,ÕÂ³½³É,598275,2018101237553,79.9,66,91.6,76.2,66.3,73.6,84.8,89.5,91
33,¼ÆÄþ,524690,2019080129069,79.9,72.4,93.1,87.3,74.5,61.9,87.3,91,71.7
34,Ö£ÑÞºÉ,710650,2022110845054,79.8,91.2,86.6,94.7,50.4,74.5,90.3,92.9,57.6
35,ê°È«,250234,2024110623415,79.8,79.8,88.2,89.8,57.4,93,92,74.3,63.9
36,Ö£Æ¼,096506,2024080200675,79.7,90.4,89.8,92.3,73.9,59.6,80.2,73.8,77.4
37,Æî·ÉÑ§,973565,2019040906510,79.5,81.2,88.3,92.8,76.8,46.2,82,93.2,75.8
38,ÂÞäÞÁá,350668,2019041006840,79.5,89.5,83.9,73.9,72.7,94.7,94.9,68.8,58
39,ºÎÈð,420094,2023021129458,79.5,82.6,83.8,94.9,54.8,83.9,60.1,92.9,83
40,ÂÀÖñº®,488647,2019010514710,79.4,76.8,72.4,78.1,80.8,89.3,62.4,81,94.1
41,Æ½¼§,915969,2021030236954,79.4,90,69.4,91.4,91.3,91.7,90.4,62.6,48
42,½¯Ô·¾§,044138,2018010953818,79.2,76.7,87.4,49.8,80.5,70.6,85.8,91.5,91.3
43,µÒÄþ,416596,2020060769630,79,79.7,91.2,64.4,83.8,65.5,76.9,79.7,90.5
44,ÅËº½Ñ×,408334,2023120763408,79,69.2,71,92.9,93.1,78.3,57.4,80.2,89.6
45,»ª¼ÒÁ¼,869952,2024110995270,79,90.9,80.5,53.4,94.1,78,65.8,84,85.1
46,Ðíº½Ã¯,716330,2019111133047,78.9,69.5,78.7,90.5,86.9,86.4,92.5,61.6,65.4
47,Ë®äÞ,593286,2021010908609,78.9,87.9,57.7,87.9,91,91.2,52.8,79.3,83.7
48,ÂíÃÃÑþ,296409,2023091170942,78.9,94.4,77.1,87.3,67.7,53,66.2,94,91.2
