2022080131225,root,1000,70.3,3
IMZQe,cAG1z,N30cB
70.5,70.1,70.4
1,岑文,971474,2022110677457,93.7,94.9,91.4,94.7
2,奚珍梦,671630,2023080223062,92.5,91.7,93.6,92.1
3,费明,385315,2022040391534,92.0,88.4,93.4,94.2
4,唐军中,772606,2021120630647,90.5,85.7,94.8,91.0
5,褚海生,939280,2019030928049,90.4,90.8,90.9,89.5
6,蒋盛,843686,2023020268670,89.5,87.5,86.5,94.4
7,钱中,608758,2019011105866,89.4,85.8,94.9,87.6
8,宋仁达,075972,2021050027270,89.4,94.5,94.4,79.2
9,毛武义,498536,2023100013634,89.4,93.6,86.8,87.9
10,项嘉珍,540375,2022030907569,89.1,94.9,85.0,87.5
11,潘家,241905,2021120650553,88.8,90.2,94.6,81.7
12,宋融贞,544356,2018110915668,87.7,88.4,93.2,81.6
13,戴叶,306180,2023080098036,87.2,77.3,90.0,94.2
14,明永家,439549,2019100404917,87.1,90.7,83.5,87.1
15,王悦环,960958,2024060075858,87.0,89.4,83.3,88.2
16,柏珊黛,524972,2023050997238,86.9,83.6,92.0,85.2
17,戴树,766500,2019050610007,86.6,84.7,81.5,93.7
18,卞武,722367,2023100796750,86.4,81.2,91.0,86.9
19,谈建生,359952,2018120535232,86.0,89.6,88.6,79.7
20,孙祥勇,424524,2018100592419,85.9,92.9,85.8,79.0
21,贺瑗,239015,2021041231553,85.8,78.3,91.5,87.6
22,汤雪,824504,2021121030418,85.8,81.4,83.9,92.1
23,杨梦,168953,2023050145373,85.8,88.4,77.0,92.0
24,成富,861845,2019101074571,85.7,89.8,78.0,89.3
25,费芝珍,499544,2020010834429,85.7,89.2,79.7,88.3
26,方富康,526528,2021090272870,85.6,85.2,89.5,82.0
27,邬雄家,819010,2021050041060,85.5,91.5,78.7,86.2
28,华枫,429917,2022071231734,85.5,92.7,84.6,79.3
29,邬影,830418,2019080631868,85.4,74.2,94.9,87.1
30,卜辰,687673,2019110957347,85.4,80.1,94.6,81.5
31,常柔,308951,2020041215137,85.3,86.9,77.0,91.9
32,齐琴,603983,2022041118330,85.3,89.4,94.7,71.8
33,苏珍,830462,2019080156245,85.0,92.2,88.3,74.5
34,郝航永,085640,2020100544003,85.0,87.2,91.0,76.7
35,陶树福,711401,2022020760169,84.9,76.6,88.2,89.8
36,郎苑舒,959970,2019060427061,84.8,88.0,73.6,92.9
37,汤发榕,735583,2024041168323,84.7,88.1,74.4,91.5
38,马海,028664,2024050916456,84.7,92.2,69.6,92.3
39,任淑,187048,2022081164868,84.5,88.9,75.1,89.5
40,酆祥,370709,2024030860918,84.4,81.1,87.5,84.7
41,鲍武才,817966,2023070556650,84.2,91.7,86.2,74.8
42,史航信,063067,2019020636738,84.0,88.1,85.7,78.2
43,陈霭环,225719,2018030641930,83.9,79.1,87.0,85.6
44,袁志,576985,2019070548529,83.9,89.4,67.4,95.0
45,苏志健,262370,2024090387062,83.8,82.0,86.6,82.7
