2019060160138,root,1000,70.2,10
zW0Ie,ZfteB,QcP1W,PZ3J0,ASouB,mL0dj,69wsh,LGJOp,KZWRj,eJQPo
69.7,71.0,69.9,70.1,70.2,70.4,70.1,70.2,70.5,69.7
1,»¨æ«ÒÁ,244831,2021091253124,83.2,93.2,86.1,88.4,87.9,93.6,92.7,56.2,87.6,85.5,60.3
2,ê°æ¼,837889,2019120488942,82.2,90.4,78.6,67.6,88.8,86.3,83.4,73.3,88.2,90.6,74.6
3,ÅËÒã,234078,2023090147818,81.9,79.7,89.9,91.3,89.8,73.4,92.6,63.8,64.2,91.3,83.0
4,Ñîµ¤ÇÉ,252337,2018060143713,81.8,93.5,81.0,79.8,71.4,83.4,54.6,93.8,85.4,90.7,84.5
5,ÕÂæýÃ·,920934,2022020433445,81.5,68.4,88.0,64.2,80.9,77.9,84.0,90.5,87.8,94.7,78.6
6,Ç®è´·Æ,736863,2024080686363,81.5,91.8,51.7,85.3,87.2,53.9,92.2,82.9,92.1,88.1,90.1
7,¿µÊæÖ¦,319953,2021101155359,81.3,76.0,70.2,68.6,76.1,90.0,93.2,91.3,85.8,80.0,81.5
8,ÇØ²ÅÈÊ,220650,2018101025002,81.1,81.5,86.4,84.3,51.9,87.5,72.6,79.2,92.1,82.0,93.2
9,ËïÔÏð¥,771646,2020090514635,80.9,45.8,94.8,93.7,88.5,61.7,86.0,93.6,93.8,69.6,81.4
10,ÅíÖñ,724432,2018061233248,80.8,87.1,93.7,85.8,87.3,92.5,52.5,52.8,81.8,81.5,93.3
11,Æî¹âÏé,814207,2023080100706,80.6,53.8,87.5,92.3,78.6,74.7,92.9,74.3,68.2,90.6,93.5
12,¼Æ·¼,368181,2024040498160,80.6,80.9,72.9,52.9,94.6,93.3,91.0,61.6,93.8,94.5,70.5
13,ÂÀÔ·æ¼,925760,2022021096043,80.5,74.7,92.9,64.7,80.6,76.9,81.3,67.0,80.5,91.7,94.6
14,Ê©ÎÄ,501031,2024091143110,80.3,81.7,57.2,74.9,86.6,80.2,94.4,64.7,79.0,90.8,93.4
15,ÃçæýÐã,660745,2019010514518,80.1,74.5,72.7,84.7,92.9,72.7,86.8,82.3,67.5,82.5,84.9
16,°ØÈÚÈá,771042,2020120884242,79.8,92.4,86.5,77.0,90.5,85.8,72.1,75.5,50.7,76.7,90.7
17,á¯Ýí¾Õ,024881,2021070918127,79.8,90.7,71.8,73.5,86.2,84.5,80.8,65.7,75.3,94.4,75.5
18,Éò´º,930638,2023040353874,79.8,78.5,87.6,93.4,87.8,48.4,65.1,82.6,91.7,69.3,93.1
19,ÐÜ½à»¶,243026,2021060512654,79.7,89.3,60.4,92.7,74.9,77.9,64.8,81.1,78.7,93.9,82.9
20,³ÂË³,583284,2021080088471,79.6,57.3,91.9,81.1,53.0,91.3,81.2,93.6,83.9,88.2,74.1
21,ÓÚ¹ãÃú,882633,2022070703353,79.6,92.8,77.5,89.4,85.5,69.2,90.4,73.3,81.4,59.5,76.6
22,ÎÀØ¹,532622,2020060172227,79.4,83.1,85.5,89.2,47.7,93.9,93.1,77.3,61.6,84.8,77.8
23,ÂÀÐÐÔª,223636,2021040693639,79.4,79.4,67.4,76.4,89.5,72.0,87.9,74.8,79.4,92.4,75.3
24,Æ½¼§,915969,2021030236954,79.3,73.2,73.7,85.1,86.6,87.9,62.1,93.7,89.3,80.4,61.2
25,ÑÏ¼Ñ,214154,2019040565429,79.2,65.7,86.0,51.3,92.9,87.2,75.4,83.3,82.3,86.7,80.8
26,ÎâÓ¢,794461,2023030696148,79.2,62.9,92.5,65.0,68.8,78.5,92.1,88.7,76.6,88.9,77.6
27,ÐíÖÐÊ¢,581189,2020030748952,79.1,91.2,88.3,83.3,77.7,63.8,68.2,91.2,82.4,69.3,75.7
28,ËÎÈÚ,883590,2021120749002,79.0,74.0,77.4,92.7,61.4,86.0,82.5,92.6,58.1,77.9,86.9
